movieId,movieTitle,createdById,createdAt,vote
1027,Annie,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:03.103,0
411,The 13th Warrior,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:05.292,0
651,Sin City,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:08.951,4
1043,Ted 2,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:11.357,4
10,The War of the Roses,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:14.202,0
104,Top Girls,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:15.764,0
867,The Book of Eli,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:18.320,0
1320,The Loud House Movie,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:20.931,0
643,Charlie and the Chocolate Factory,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:23.837,3
811,The Twilight Saga: New Moon,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:26.117,0
1160,The Dark Tower,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:28.202,0
463,Snatch,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:29.934,0
419,Boys Don't Cry,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:32.205,0
999,Empire State,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:34.072,0
1130,Despicable Me 3,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:37.978,3
843,Harry Potter and the Deathly Hallows: Part 1,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:40.217,5
115,Flight of the Intruder,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:43.007,0
977,Scary Movie 5,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:47.045,3
675,Sahara,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:21.406,0
63,White Palace,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:23.188,0
1111,Inferno,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:25.637,4
1346,The OctoGames,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:27.265,0
622,"Mickey, Donald, Goofy: The Three Musketeers",cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:29.203,0
745,Alvin and the Chipmunks,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:30.617,0
211,Natural Born Killers,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:32.271,0
1078,Victor Frankenstein,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:36.157,0
178,Dragon: The Bruce Lee Story,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:38.580,0
1418,Salem's Lot,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:40.330,0
40,Shirley Valentine,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:41.966,0
255,Copycat,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:44.271,0
724,Virgin Territory,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:46.507,0
1250,Love and Monsters,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:48.294,0
658,Lord of War,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:50.740,3
721,Highlander: The Search for Vengeance,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:52.225,0
1157,From Straight A's to XXX,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:53.912,0
1005,Interstellar,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:41:59.307,5
1330,Minions: The Rise of Gru,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:42:02.343,3
674,Are We There Yet?,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:42:05.302,2
504,How High,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:42:07.442,4
39,Lock Up,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:42:09.751,0
1365,The Marvels,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:42:12.747,1
41,Predator 2,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:42:33.081,0
1156,Shot Caller,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:42:34.466,0
476,The Kid,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:42:36.089,0
1144,The Shack,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:42:38.029,0
81,Beauty and the Beast,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:42:39.586,0
